<SIL> <SIL> SIL
<UNK> <UNK> SPN
<eps> <eps> SIL
a1 a1 a1
pin1 pin1 p in1
pin5 pin5 p in5
ping1 ping1 p ing1
ping2 ping2 p ing2
ping5 ping5 p ing5
ping7 ping7 p ing7
pinn1 pinn1 p inn1
pinn3 pinn3 p inn3
pinn5 pinn5 p inn5
pinn7 pinn7 p inn7
pio2 pio2 p io2
pit4 pit4 p it4
piu1 piu1 p iu1
png7 png7 p ng7
po1 po1 p o1
po2 po2 p o2
po3 po3 p o3
po5 po5 p o5
po7 po7 p o7
poh8 poh8 p oh8
pok8 pok8 p ok8
poo1 poo1 p oo1
poo2 poo2 p oo2
poo3 poo3 p oo3
poo7 poo7 p oo7
pu7 pu7 p u7
pua3 pua3 p ua3
puah4 puah4 p uah4
puah8 puah8 p uah8
puann1 puann1 p uann1
puann3 puann3 p uann3
puann5 puann5 p uann5
puat8 puat8 p uat8
pue1 pue1 p ue1
pue2 pue2 p ue2
pue3 pue3 p ue3
pue5 pue5 p ue5
pue7 pue7 p ue7
pueh4 pueh4 p ueh4
pui5 pui5 p ui5
pun2 pun2 p un2
pun3 pun3 p un3
pun5 pun5 p un5
put4 put4 p ut4
sa1 sa1 s a1
sah8 sah8 s ah8
sai1 sai1 s ai1
sai2 sai2 s ai2
sai3 sai3 s ai3
sai7 sai7 s ai7
sak4 sak4 s ak4
sam1 sam1 s am1
san1 san1 s an1
san2 san2 s an2
san3 san3 s an3
sang1 sang1 s ang1
sang2 sang2 s ang2
sang3 sang3 s ang3
sann1 sann1 s ann1
sannh4 sannh4 s annh4
sap4 sap4 s ap4
sat4 sat4 s at4
sau3 sau3 s au3
se1 se1 s e1
se2 se2 s e2
se3 se3 s e3
seh8 seh8 s eh8
senn3 senn3 s enn3
si1 si1 s i1
si2 si2 s i2
si3 si3 s i3
si5 si5 s i5
si7 si7 s i7
sia2 sia2 s ia2
sia3 sia3 s ia3
sia5 sia5 s ia5
sia7 sia7 s ia7
siah4 siah4 s iah4
siak4 siak4 s iak4
siam2 siam2 s iam2
sian1 sian1 s ian1
sian2 sian2 s ian2
sian7 sian7 s ian7
siang1 siang1 s iang1
siann5 siann5 s iann5
siap8 siap8 s iap8
siat4 siat4 s iat4
siau1 siau1 s iau1
siau2 siau2 s iau2
siau3 siau3 s iau3
siau5 siau5 s iau5
siau7 siau7 s iau7
sih4 sih4 s ih4
sik4 sik4 s ik4
sik8 sik8 s ik8
sim1 sim1 s im1
sim2 sim2 s im2
sim3 sim3 s im3
sim7 sim7 s im7
sin1 sin1 s in1
sin3 sin3 s in3
sin5 sin5 s in5
sing1 sing1 s ing1
sing2 sing2 s ing2
sing3 sing3 s ing3
sing5 sing5 s ing5
sing7 sing7 s ing7
sinn3 sinn3 s inn3
sio1 sio1 s io1
sioh4 sioh4 s ioh4
siok4 siok4 s iok4
siok8 siok8 s iok8
siong1 siong1 s iong1
siong2 siong2 s iong2
siong5 siong5 s iong5
siong7 siong7 s iong7
sip8 sip8 s ip8
sit4 sit4 s it4
sit8 sit8 s it8
siu1 siu1 s iu1
siu2 siu2 s iu2
siu3 siu3 s iu3
siu5 siu5 s iu5
siu7 siu7 s iu7
siunn1 siunn1 s iunn1
sng1 sng1 s ng1
sng2 sng2 s ng2
sng3 sng3 s ng3
so1 so1 s o1
so2 so2 s o2
so3 so3 s o3
so5 so5 s o5
soh4 soh4 s oh4
sok4 sok4 s ok4
som1 som1 s om1
song2 song2 s ong2
song3 song3 s ong3
song5 song5 s ong5
soo1 soo1 s oo1
soo2 soo2 s oo2
soo3 soo3 s oo3
su1 su1 s u1
su2 su2 s u2
su3 su3 s u3
su5 su5 s u5
su7 su7 s u7
sua2 sua2 s ua2
sua3 sua3 s ua3
suah4 suah4 s uah4
suai3 suai3 s uai3
suainn7 suainn7 s uainn7
suan1 suan1 s uan1
suan2 suan2 s uan2
suan3 suan3 s uan3
suann3 suann3 s uann3
sue1 sue1 s ue1
sueh4 sueh4 s ueh4
suh4 suh4 s uh4
sui1 sui1 s ui1
sui2 sui2 s ui2
sui5 sui5 s ui5
sui7 sui7 s ui7
sun1 sun1 s un1
sun2 sun2 s un2
sun5 sun5 s un5
sun7 sun7 s un7
sut4 sut4 s ut4
sut8 sut8 s ut8
ta1 ta1 t a1
ta3 ta3 t a3
tah4 tah4 t ah4
tah8 tah8 t ah8
tai1 tai1 t ai1
tai3 tai3 t ai3
tai5 tai5 t ai5
tai7 tai7 t ai7
tak4 tak4 t ak4
tam1 tam1 t am1
tam5 tam5 t am5
tam7 tam7 t am7
tan1 tan1 t an1
tan3 tan3 t an3
tan5 tan5 t an5
tang1 tang1 t ang1
tang2 tang2 t ang2
tang5 tang5 t ang5
tann1 tann1 t ann1
tann2 tann2 t ann2
tap4 tap4 t ap4
tap8 tap8 t ap8
tat8 tat8 t at8
tau1 tau1 t au1
tau2 tau2 t au2
tau3 tau3 t au3
tau5 tau5 t au5
tau7 tau7 t au7
te2 te2 t e2
te3 te3 t e3
te5 te5 t e5
te7 te7 t e7
tenn3 tenn3 t enn3
tenn7 tenn7 t enn7
thah4 thah4 th ah4
thah8 thah8 th ah8
thai1 thai1 th ai1
thai3 thai3 th ai3
thai5 thai5 th ai5
thai7 thai7 th ai7
tham1 tham1 th am1
tham3 tham3 th am3
tham5 tham5 th am5
than2 than2 th an2
than3 than3 th an3
thang1 thang1 th ang1
thang2 thang2 th ang2
thang5 thang5 th ang5
thann1 thann1 th ann1
thann2 thann2 th ann2
that4 that4 th at4
thau1 thau1 th au1
thau2 thau2 th au2
thau3 thau3 th au3
thau5 thau5 th au5
the1 the1 th e1
the2 the2 th e2
the3 the3 th e3
thenn3 thenn3 th enn3
thi1 thi1 th i1
thi5 thi5 th i5
thiah4 thiah4 th iah4
thiam1 thiam1 th iam1
thiam2 thiam2 th iam2
thian1 thian1 th ian1
thiann1 thiann1 th iann1
thiann3 thiann3 th iann3
thiap4 thiap4 th iap4
thiau3 thiau3 th iau3
thih4 thih4 th ih4
thik4 thik4 th ik4
thim3 thim3 th im3
thin5 thin5 th in5
thing5 thing5 th ing5
thinn7 thinn7 th inn7
thio3 thio3 th io3
thiok4 thiok4 th iok4
thiong3 thiong3 th iong3
thit4 thit4 th it4
thiunn2 thiunn2 th iunn2
thng1 thng1 th ng1
thng3 thng3 th ng3
thng5 thng5 th ng5
tho2 tho2 th o2
tho3 tho3 th o3
tho5 tho5 th o5
thok4 thok4 th ok4
thok8 thok8 th ok8
thong2 thong2 th ong2
thoo2 thoo2 th oo2
thoo3 thoo3 th oo3
thoo5 thoo5 th oo5
thu2 thu2 th u2
thua1 thua1 th ua1
thuah4 thuah4 th uah4
thuan5 thuan5 th uan5
thuann3 thuann3 th uann3
thue3 thue3 th ue3
thueh8 thueh8 th ueh8
thuh4 thuh4 th uh4
thui5 thui5 th ui5
thun1 thun1 th un1
thut4 thut4 th ut4
ti1 ti1 t i1
ti3 ti3 t i3
ti5 ti5 t i5
ti6 ti6 t i6
ti7 ti7 t i7
tia1 tia1 t ia1
tiah4 tiah4 t iah4
tiam2 tiam2 t iam2
tiam3 tiam3 t iam3
tiam7 tiam7 t iam7
tian1 tian1 t ian1
tian2 tian2 t ian2
tian7 tian7 t ian7
tiann2 tiann2 t iann2
tiann5 tiann5 t iann5
tiann7 tiann7 t iann7
tiap4 tiap4 t iap4
tiat4 tiat4 t iat4
tiau1 tiau1 t iau1
tiau5 tiau5 t iau5
tiau7 tiau7 t iau7
tih4 tih4 t ih4
tik4 tik4 t ik4
tik8 tik8 t ik8
tim3 tim3 t im3
tin1 tin1 t in1
tin3 tin3 t in3
tin7 tin7 t in7
ting1 ting1 t ing1
ting2 ting2 t ing2
ting3 ting3 t ing3
