ngia5 1.0	ng ia5
tian2 1.0	t ian2
lam2 1.0	l am2
tsiok4 1.0	ts iok4
su7 1.0	s u7
lu5 1.0	l u5
giok8 1.0	g iok8
hok8 1.0	h ok8
bu7 1.0	b u7
tang1 1.0	t ang1
phing5 1.0	ph ing5
kui7 1.0	k ui7
sih4 1.0	s ih4
sang2 1.0	s ang2
lo5 1.0	l o5
lik8 1.0	l ik8
hun5 1.0	h un5
tua3 1.0	t ua3
ke7 1.0	k e7
ap4  1.0	ap4
hong1 1.0	h ong1
thai1 1.0	th ai1
soo2 1.0	s oo2
phenn5 1.0	ph enn5
tin1 1.0	t in1
hiang2 1.0	h iang2
sua2 1.0	s ua2
se1 1.0	s e1
tsiap4 1.0	ts iap4
na7 1.0	n a7
tam7 1.0	t am7
poh8 1.0	p oh8
hing5 1.0	h ing5
kun1 1.0	k un1
nua5 1.0	n ua5
tue5 1.0	t ue5
too1 1.0	t oo1
khian3 1.0	kh ian3
kan2 1.0	k an2
phinn1 1.0	ph inn1
pan2 1.0	p an2
sueh4 1.0	s ueh4
lui7 1.0	l ui7
kau1 1.0	k au1
lun7 1.0	l un7
tsai7 1.0	ts ai7
mi2 1.0	m i2
khoo2 1.0	kh oo2
tsu7 1.0	ts u7
po1 1.0	p o1
tshau1 1.0	tsh au1
kik8 1.0	k ik8
pinn1 1.0	p inn1
tah4 1.0	t ah4
o1  1.0	o1
sim2 1.0	s im2
tsiau1 1.0	ts iau1
han2 1.0	h an2
soo3 1.0	s oo3
gim3 1.0	g im3
tshan5 1.0	tsh an5
tsua7 1.0	ts ua7
thinn7 1.0	th inn7
liu2 1.0	l iu2
siam2 1.0	s iam2
siann5 1.0	s iann5
kun5 1.0	k un5
peh8 1.0	p eh8
thoo3 1.0	th oo3
tsui1 1.0	ts ui1
pu7 1.0	p u7
tsha2 1.0	tsh a2
miau7 1.0	m iau7
hau2 1.0	h au2
tiam7 1.0	t iam7
sing7 1.0	s ing7
ti3 1.0	t i3
tsak4 1.0	ts ak4
onn1  1.0	onn1
thih4 1.0	th ih4
khoo3 1.0	kh oo3
jim2 1.0	j im2
sia5 1.0	s ia5
gan2 1.0	g an2
liah8 1.0	l iah8
tshak8 1.0	tsh ak8
ai1  1.0	ai1
liong5 1.0	l iong5
sun2 1.0	s un2
onn3  1.0	onn3
tok8 1.0	t ok8
ak4  1.0	ak4
pho3 1.0	ph o3
nge7 1.0	ng e7
bun2 1.0	b un2
phu5 1.0	ph u5
inn5  1.0	inn5
sian2 1.0	s ian2
ik8  1.0	ik8
tso2 1.0	ts o2
khu1 1.0	kh u1
tik8 1.0	t ik8
iunn7  1.0	iunn7
siah4 1.0	s iah4
tsah8 1.0	ts ah8
thuan5 1.0	th uan5
han3 1.0	h an3
tsiong1 1.0	ts iong1
lan5 1.0	l an5
hiau1 1.0	h iau1
pai1 1.0	p ai1
mau7 1.0	m au7
kuai3 1.0	k uai3
i1  1.0	i1
kuann1 1.0	k uann1
kuat4 1.0	k uat4
sian7 1.0	s ian7
ang1  1.0	ang1
hian7 1.0	h ian7
to2 1.0	t o2
khia7 1.0	kh ia7
khuan1 1.0	kh uan1
kang3 1.0	k ang3
tsun2 1.0	ts un2
kho3 1.0	kh o3
tham3 1.0	th am3
khuan5 1.0	kh uan5
siau3 1.0	s iau3
khue5 1.0	kh ue5
sinn3 1.0	s inn3
iat8  1.0	iat8
liu1 1.0	l iu1
thoo5 1.0	th oo5
tui1 1.0	t ui1
pan7 1.0	p an7
kong3 1.0	k ong3
tinn1 1.0	t inn1
but4 1.0	b ut4
khip4 1.0	kh ip4
in2  1.0	in2
sng2 1.0	s ng2
gong7 1.0	g ong7
khiak8 1.0	kh iak8
ju2 1.0	j u2
siong5 1.0	s iong5
tham1 1.0	th am1
ong5  1.0	ong5
hoo2 1.0	h oo2
ia3  1.0	ia3
siu2 1.0	s iu2
kun2 1.0	k un2
nng7 1.0	n ng7
khian1 1.0	kh ian1
kiat4 1.0	k iat4
him1 1.0	h im1
tinnh8 1.0	t innh8
tsin7 1.0	ts in7
haih4 1.0	h aih4
